group,label,remote_output_subdir,local_output_dir,checkpoint_relpath,conf_percentile,conf_threshold,valid_points_before_conf,points_after_conf,head_points_after_roi,head_cut_height_like,face_points_after_roi,face_height_like_lo,face_x_lo,face_x_hi,face_z_lo,face_z_hi,roi_json_path,roi_log_path
pointnormal_r3_mixed,ckpt0,evals/20260427_pointnormal_r3_mixed_ckpt0_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt0_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e4/logs/ckpts/checkpoint_0.pt,40.0,16.855228424072266,307021,184213,40527,0.05233089208602908,16262,0.06259902939200401,-0.03070988692343235,0.05575019121170044,0.8446629196405411,0.9592816978693008,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt0_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_mixed_ckpt0_on6v_headshoulder_roi.log
pointnormal_r3_mixed,ckpt1,evals/20260427_pointnormal_r3_mixed_ckpt1_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt1_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e4/logs/ckpts/checkpoint_1.pt,40.0,29.113786697387695,307021,184213,40527,0.05321533203125014,16461,0.06323978677392006,-0.02938775345683098,0.05568046495318413,0.847085490822792,0.9559183716773987,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt1_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_mixed_ckpt1_on6v_headshoulder_roi.log
pointnormal_r3_mixed,ckpt2,evals/20260427_pointnormal_r3_mixed_ckpt2_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt2_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e4/logs/ckpts/checkpoint_2.pt,40.0,41.37449645996094,307021,184213,40527,0.05349524438381196,16462,0.06368681974709034,-0.029823698103427887,0.055625103414058685,0.8467917293310165,0.9556971937417984,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt2_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_mixed_ckpt2_on6v_headshoulder_roi.log
pointnormal_r3_mixed,ckpt3,evals/20260427_pointnormal_r3_mixed_ckpt3_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt3_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e4/logs/ckpts/checkpoint_3.pt,40.0,48.43273162841797,307021,184213,40527,0.05255272984504703,16461,0.06277792528271675,-0.030247211456298828,0.05567051097750664,0.8473667651414871,0.9570200741291046,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_ckpt3_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_mixed_ckpt3_on6v_headshoulder_roi.log
pointnormal_r3_mixed,inference,evals/20260427_pointnormal_r3_mixed_inference_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_inference_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e4/inference_model.pt,40.0,48.43273162841797,307021,184213,40527,0.05255272984504703,16461,0.06277792528271675,-0.030247211456298828,0.05567051097750664,0.8473667651414871,0.9570200741291046,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_mixed_inference_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_mixed_inference_on6v_headshoulder_roi.log
pointnormal_r3_6vonly,ckpt0,evals/20260427_pointnormal_r3_6vonly_ckpt0_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt0_on6v_headshoulder,vggt_4k4d_train/20260424_headshoulder6v_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e3/logs/ckpts/checkpoint_0.pt,40.0,50.79124069213867,307021,184213,40527,0.05049751117825515,16546,0.06071057729423046,-0.032521698623895645,0.05542746186256409,0.8521137833595276,0.9596965163946152,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt0_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_6vonly_ckpt0_on6v_headshoulder_roi.log
pointnormal_r3_6vonly,ckpt1,evals/20260427_pointnormal_r3_6vonly_ckpt1_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt1_on6v_headshoulder,vggt_4k4d_train/20260424_headshoulder6v_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e3/logs/ckpts/checkpoint_1.pt,40.0,81.06884765625,307021,184213,40527,0.04614142820239067,16418,0.05635426286607981,-0.03265565633773804,0.05615612864494324,0.8560965955257416,0.964275449514389,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt1_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_6vonly_ckpt1_on6v_headshoulder_roi.log
pointnormal_r3_6vonly,ckpt2,evals/20260427_pointnormal_r3_6vonly_ckpt2_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt2_on6v_headshoulder,vggt_4k4d_train/20260424_headshoulder6v_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e3/logs/ckpts/checkpoint_2.pt,40.0,98.72510528564453,307021,184213,40527,0.045872501730918884,16463,0.05621157679706812,-0.03240388631820679,0.05634111166000366,0.8560062795877457,0.9643557220697403,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_ckpt2_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_6vonly_ckpt2_on6v_headshoulder_roi.log
pointnormal_r3_6vonly,inference,evals/20260427_pointnormal_r3_6vonly_inference_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_inference_on6v_headshoulder,vggt_4k4d_train/20260424_headshoulder6v_pointnormal_r3_faceboost_from_ckpt4_lr1e6_e3/inference_model.pt,40.0,98.72510528564453,307021,184213,40527,0.045872501730918884,16463,0.05621157679706812,-0.03240388631820679,0.05634111166000366,0.8560062795877457,0.9643557220697403,D:\vggt\vggt-main\output\modal_results\20260427_pointnormal_r3_6vonly_inference_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260427_pointnormal_r3_6vonly_inference_on6v_headshoulder_roi.log
teachergeom_roi_combo,ckpt0_existing,evals/20260424_sparseproto_headshoulder_teachergeom_roi_combo_from_ckpt4_ckpt0_on6v_headshoulder,D:\vggt\vggt-main\output\modal_results\20260424_sparseproto_headshoulder_teachergeom_roi_combo_from_ckpt4_ckpt0_on6v_headshoulder,vggt_4k4d_train/20260424_sparseproto_headshoulder_teachergeom_roi_combo_from_ckpt4_lr1e6_e4/logs/ckpts/checkpoint_0.pt,40.0,21.258859634399414,307021,184213,40527,0.053673576563596746,16336,0.06382108107209206,-0.03058273158967495,0.05442595109343529,0.8470654785633087,0.9555932134389877,D:\vggt\vggt-main\output\modal_results\20260424_sparseproto_headshoulder_teachergeom_roi_combo_from_ckpt4_ckpt0_on6v_headshoulder\roi_summary_conf40.json,D:\vggt\vggt-main\output\logs\20260427_eval_6v_headshoulder\20260424_sparseproto_headshoulder_teachergeom_roi_combo_from_ckpt4_ckpt0_on6v_headshoulder_roi.log
